ObjectA,ObjectB,A2BDir,EffectType,Source,Target,VelChange,Which
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,R,None,None,None,None,OTHER
BLOCK,Mario,L,None,None,None,None,OTHER
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,SPENT,L,VelChange,Mario,None,vx,A
SPENT,Mario,R,VelChange,Mario,None,vx,B
Mario,SPENT,D,VelChange,Mario,None,vy,A
SPENT,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,SPENT,D,VelChange,Mario,None,vy,A
SPENT,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,L,VelChange,Mario,None,vx,A
BLOCK,Mario,R,VelChange,Mario,None,vx,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,SPENT,U,VelChange,Mario,None,vy,A
SPENT,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,None,None,None,None,OTHER
GROUND,Mario,U,None,None,None,None,OTHER
Mario,SPENT,U,VelChange,Mario,None,vy,A
SPENT,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,SPENT,R,VelChange,Mario,None,vx,A
SPENT,Mario,L,VelChange,Mario,None,vx,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,SPENT,D,VelChange,Mario,None,vy,A
SPENT,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,None,None,None,None,OTHER
GROUND,Mario,U,None,None,None,None,OTHER
Mario,GROUND,D,VelChange,Mario,None,vx,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vx,B
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,SPENT,R,VelChange,Mario,None,vx,A
SPENT,Mario,L,VelChange,Mario,None,vx,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,SPENT,R,None,None,None,None,OTHER
SPENT,Mario,L,None,None,None,None,OTHER
Mario,SPENT,D,VelChange,Mario,None,vy,A
SPENT,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,SPENT,D,VelChange,Mario,None,vx,A
Mario,SPENT,D,VelChange,Mario,None,vy,A
SPENT,Mario,U,VelChange,Mario,None,vx,B
SPENT,Mario,U,VelChange,Mario,None,vy,B
Mario,SPENT,U,VelChange,Mario,None,vy,A
SPENT,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vx,A
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vx,B
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None,OTHER
RIGHT_UP_GRASS_EDGE,Mario,U,None,None,None,None,OTHER
Mario,BLOCK,D,VelChange,Mario,None,vy,A
BLOCK,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,None,None,None,None,OTHER
GROUND,Mario,U,None,None,None,None,OTHER
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Goomba,GROUND,D,VelChange,Goomba,None,vy,A
GROUND,Goomba,U,VelChange,Goomba,None,vy,B
Goomba,GROUND,D,VelChange,Goomba,None,vy,A
GROUND,Goomba,U,VelChange,Goomba,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Goomba,Mario,L,Delete,Mario,None,None,B
Mario,Goomba,R,Delete,Mario,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,COIN,U,Delete,COIN,None,None,B
COIN,Mario,D,Delete,COIN,None,None,A
Mario,COIN,U,Delete,COIN,None,None,B
COIN,Mario,D,Delete,COIN,None,None,A
Mario,COIN,R,Delete,COIN,None,None,B
COIN,Mario,L,Delete,COIN,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,RIGHT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
RIGHT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,R,VelChange,Mario,None,vx,A
BLOCK,Mario,L,VelChange,Mario,None,vx,B
Mario,COIN,D,Delete,COIN,None,None,B
COIN,Mario,U,Delete,COIN,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,COIN,R,Delete,COIN,None,None,B
COIN,Mario,L,Delete,COIN,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None,OTHER
RIGHT_UP_GRASS_EDGE,Mario,U,None,None,None,None,OTHER
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vx,A
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vx,B
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,D,None,None,None,None,OTHER
LEFT_UP_GRASS_EDGE,Mario,U,None,None,None,None,OTHER
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Goomba,GROUND,D,VelChange,Goomba,None,vy,A
GROUND,Goomba,U,VelChange,Goomba,None,vy,B
Goomba,GROUND,D,VelChange,Goomba,None,vy,A
GROUND,Goomba,U,VelChange,Goomba,None,vy,B
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vx,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vx,B
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,Goomba,D,VelChange,Mario,None,vy,A
Mario,Goomba,D,Delete,Goomba,None,None,B
Goomba,Mario,U,VelChange,Mario,None,vy,B
Goomba,Mario,U,Delete,Goomba,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,R,VelChange,Mario,None,vx,A
BLOCK,Mario,L,VelChange,Mario,None,vx,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,None,None,None,None,OTHER
GROUND,Mario,U,None,None,None,None,OTHER
Mario,BLOCK,L,VelChange,Mario,None,vx,A
BLOCK,Mario,R,VelChange,Mario,None,vx,B
Mario,BLOCK,D,None,None,None,None,OTHER
BLOCK,Mario,U,None,None,None,None,OTHER
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,BLOCK,D,VelChange,Mario,None,vy,A
BLOCK,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,BLOCK,D,VelChange,Mario,None,vy,A
BLOCK,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vx,B
Mario,ROCK,D,VelChange,Mario,None,vy,A
ROCK,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,ROCK,R,VelChange,Mario,None,vx,A
ROCK,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_GRASS_EDGE,R,None,None,None,None,OTHER
LEFT_GRASS_EDGE,Mario,L,None,None,None,None,OTHER
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,None,None,None,None,OTHER
LEFT_UP_GRASS_EDGE,Mario,L,None,None,None,None,OTHER
Mario,ROCK,R,None,None,None,None,OTHER
ROCK,Mario,L,None,None,None,None,OTHER
Mario,ROCK,D,None,None,None,None,OTHER
ROCK,Mario,U,None,None,None,None,OTHER
Mario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None,OTHER
RIGHT_UP_GRASS_EDGE,Mario,U,None,None,None,None,OTHER
Mario,RIGHT_UP_GRASS_EDGE,D,None,None,None,None,OTHER
RIGHT_UP_GRASS_EDGE,Mario,U,None,None,None,None,OTHER
Mario,GROUND,D,None,None,None,None,OTHER
GROUND,Mario,U,None,None,None,None,OTHER
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,LEFT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
LEFT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,LEFT_UP_GRASS_EDGE,R,VelChange,Mario,None,vx,A
LEFT_UP_GRASS_EDGE,Mario,L,VelChange,Mario,None,vx,B
Mario,RIGHT_UP_GRASS_EDGE,D,VelChange,Mario,None,vy,A
RIGHT_UP_GRASS_EDGE,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,None,None,None,None,OTHER
GROUND,Mario,U,None,None,None,None,OTHER
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,COIN,U,Delete,COIN,None,None,B
COIN,Mario,D,Delete,COIN,None,None,A
Mario,COIN,R,Delete,COIN,None,None,B
COIN,Mario,L,Delete,COIN,None,None,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,TUBE_SIDE_LEFT,R,None,None,None,None,OTHER
TUBE_SIDE_LEFT,Mario,L,None,None,None,None,OTHER
Mario,TUBE_TOP_LEFT,R,None,None,None,None,OTHER
TUBE_TOP_LEFT,Mario,L,None,None,None,None,OTHER
Mario,TUBE_TOP_LEFT,D,None,None,None,None,OTHER
TUBE_TOP_LEFT,Mario,U,None,None,None,None,OTHER
Goomba,GROUND,D,VelChange,Goomba,None,vy,A
GROUND,Goomba,U,VelChange,Goomba,None,vy,B
Goomba,GROUND,D,VelChange,Goomba,None,vy,A
GROUND,Goomba,U,VelChange,Goomba,None,vy,B
Mario,COIN,D,Delete,COIN,None,None,B
COIN,Mario,U,Delete,COIN,None,None,A
Goomba,TUBE_SIDE_RIGHT,L,VelChange,Goomba,None,vx,A
TUBE_SIDE_RIGHT,Goomba,R,VelChange,Goomba,None,vx,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Bush,BigMario,L,None,None,None,None,OTHER
BigMario,Bush,R,None,None,None,None,OTHER
Goomba,TUBE_SIDE_RIGHT,L,VelChange,Goomba,None,vx,A
TUBE_SIDE_RIGHT,Goomba,R,VelChange,Goomba,None,vx,B
Mario,TUBE_TOP_RIGHT,D,VelChange,Mario,None,vy,A
TUBE_TOP_RIGHT,Mario,U,VelChange,Mario,None,vy,B
Mario,Goomba,D,VelChange,Mario,None,vy,A
Mario,Goomba,D,Delete,Goomba,None,None,B
Goomba,Mario,U,VelChange,Mario,None,vy,B
Goomba,Mario,U,Delete,Goomba,None,None,A
GreenKoopa,Goomba,R,None,None,None,None,OTHER
Goomba,GreenKoopa,L,None,None,None,None,OTHER
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Goomba,TUBE_SIDE_LEFT,R,VelChange,Goomba,None,vx,A
TUBE_SIDE_LEFT,Goomba,L,VelChange,Goomba,None,vx,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,TUBE_SIDE_LEFT,R,VelChange,Mario,None,vx,A
TUBE_SIDE_LEFT,Mario,L,VelChange,Mario,None,vx,B
Mario,TUBE_TOP_RIGHT,D,None,None,None,None,OTHER
TUBE_TOP_RIGHT,Mario,U,None,None,None,None,OTHER
GreenKoopa,BLOCK,D,VelChange,GreenKoopa,None,vy,A
BLOCK,GreenKoopa,U,VelChange,GreenKoopa,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Mario,COIN,U,Delete,COIN,None,None,B
Mario,COIN,U,Delete,COIN,None,None,B
COIN,Mario,D,Delete,COIN,None,None,A
COIN,Mario,D,Delete,COIN,None,None,A
Mario,COIN,U,Delete,COIN,None,None,B
Mario,COIN,U,Delete,COIN,None,None,B
COIN,Mario,D,Delete,COIN,None,None,A
COIN,Mario,D,Delete,COIN,None,None,A
Mario,COIN,L,Delete,COIN,None,None,B
Mario,COIN,L,VelChange,Mario,None,vy,A
COIN,Mario,R,Delete,COIN,None,None,A
COIN,Mario,R,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy,A
GROUND,GreenKoopa,U,VelChange,GreenKoopa,None,vy,B
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy,A
GROUND,GreenKoopa,U,VelChange,GreenKoopa,None,vy,B
GreenKoopa,GROUND,D,VelChange,GreenKoopa,None,vy,A
GROUND,GreenKoopa,U,VelChange,GreenKoopa,None,vy,B
Mario,GreenKoopa,D,VelChange,Mario,None,vy,A
Mario,GreenKoopa,D,Delete,GreenKoopa,None,None,B
GreenKoopa,Mario,U,VelChange,Mario,None,vy,B
GreenKoopa,Mario,U,Delete,GreenKoopa,None,None,A
Shell,7,D,None,None,None,None,OTHER
7,Shell,U,None,None,None,None,OTHER
Shell,GROUND,D,None,None,None,None,OTHER
GROUND,Shell,U,None,None,None,None,OTHER
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Shell,7,D,None,None,None,None,OTHER
7,Shell,U,None,None,None,None,OTHER
Shell,GROUND,D,None,None,None,None,OTHER
GROUND,Shell,U,None,None,None,None,OTHER
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
GROUND,Mario,U,VelChange,Mario,None,vy,B
Goomba,GROUND,D,VelChange,Goomba,None,vy,A
GROUND,Goomba,U,VelChange,Goomba,None,vy,B
Mario,BLOCK,D,None,None,None,None,OTHER
BLOCK,Mario,U,None,None,None,None,OTHER
Mario,SPENT,D,None,None,None,None,OTHER
SPENT,Mario,U,None,None,None,None,OTHER
Mario,BLOCK,D,None,None,None,None,OTHER
BLOCK,Mario,U,None,None,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,BLOCK,D,None,None,None,None,OTHER
BLOCK,Mario,U,None,None,None,None,OTHER
Mario,SPENT,D,None,None,None,None,OTHER
SPENT,Mario,U,None,None,None,None,OTHER
Mario,BLOCK,U,Change,BLOCK,SPENT,None,B
Mario,BLOCK,U,Add,COIN,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,Change,BLOCK,SPENT,None,A
BLOCK,Mario,D,Add,COIN,None,None,OTHER
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,SPENT,D,VelChange,Mario,None,vy,A
SPENT,Mario,U,VelChange,Mario,None,vy,B
Mario,BLOCK,D,None,None,None,None,OTHER
BLOCK,Mario,U,None,None,None,None,OTHER
Mario,BLOCK,U,VelChange,Mario,None,vy,A
BLOCK,Mario,D,VelChange,Mario,None,vy,B
Mario,GROUND,D,VelChange,Mario,None,vy,A
Mario,GROUND,D,VelChange,Mario,None,vy,A
Mario,GROUND,D,Delete,Goomba,None,None,OTHER
GROUND,Mario,U,VelChange,Mario,None,vy,B
GROUND,Mario,U,VelChange,Mario,None,vy,B
GROUND,Mario,U,Delete,Goomba,None,None,OTHER
Mario,Goomba,D,VelChange,Mario,None,vy,A
